gene_name,control_females_max_transcript_counts,control_males_max_transcript_counts,difference
LOC111103956,3,2,1
LOC111103959,5,4,1
LOC111103967,3,4,-1
LOC111103979,2,1,1
LOC111103981,2,1,1
LOC111103991,2,1,1
LOC111103994,5,3,2
LOC111103996,6,3,3
LOC111104008,8,5,3
LOC111104009,3,2,1
LOC111104011,1,3,-2
LOC111104015,2,1,1
LOC111104023,3,1,2
LOC111104030,1,2,-1
LOC111104042,2,1,1
LOC111104048,1,2,-1
LOC111104050,1,2,-1
LOC111104055,4,2,2
LOC111104056,1,2,-1
LOC111104061,3,2,1
LOC111104063,12,9,3
LOC111104067,2,1,1
LOC111104082,2,1,1
LOC111104084,8,4,4
LOC111104098,6,5,1
LOC111104103,2,1,1
LOC111104107,2,1,1
LOC111104110,2,3,-1
LOC111104112,7,6,1
LOC111104117,3,1,2
LOC111104129,2,1,1
LOC111104135,4,3,1
LOC111104160,2,1,1
LOC111104169,4,3,1
LOC111104175,2,1,1
LOC111104180,6,3,3
LOC111104190,13,7,6
LOC111104193,5,3,2
LOC111104198,3,4,-1
LOC111104211,2,3,-1
LOC111104216,0,1,-1
LOC111104221,4,3,1
LOC111104223,3,1,2
LOC111104228,3,4,-1
LOC111104234,2,1,1
LOC111104251,1,2,-1
LOC111104252,3,2,1
LOC111104269,9,6,3
LOC111104282,1,0,1
LOC111104287,5,4,1
LOC111104313,3,2,1
LOC111104315,4,3,1
LOC111104316,4,2,2
LOC111104321,1,2,-1
LOC111104325,1,2,-1
LOC111104330,4,3,1
LOC111104336,0,1,-1
LOC111104339,0,1,-1
LOC111104346,3,2,1
LOC111104349,5,2,3
LOC111104354,3,2,1
LOC111104364,1,2,-1
LOC111104379,0,1,-1
LOC111104380,3,2,1
LOC111104382,9,4,5
LOC111104386,4,3,1
LOC111104387,2,1,1
LOC111104401,10,7,3
LOC111104411,2,1,1
LOC111104412,1,0,1
LOC111104414,2,1,1
LOC111104417,1,3,-2
LOC111104422,1,2,-1
LOC111104430,2,3,-1
LOC111104432,9,7,2
LOC111104433,3,2,1
LOC111104437,2,1,1
LOC111104448,2,1,1
LOC111104451,5,4,1
LOC111104453,5,2,3
LOC111104459,1,0,1
LOC111104461,2,1,1
LOC111104464,4,3,1
LOC111104474,3,1,2
LOC111104488,1,4,-3
LOC111104489,2,1,1
LOC111104497,4,3,1
LOC111104508,1,2,-1
LOC111104511,2,1,1
LOC111104515,5,3,2
LOC111104526,3,5,-2
LOC111104529,3,2,1
LOC111104540,3,1,2
LOC111104544,2,1,1
LOC111104545,2,1,1
LOC111104557,2,1,1
LOC111104568,2,1,1
LOC111104572,2,1,1
LOC111104583,0,1,-1
LOC111104591,3,2,1
LOC111104598,3,1,2
LOC111104602,2,1,1
LOC111104603,2,1,1
LOC111104621,1,2,-1
LOC111104625,3,4,-1
LOC111104627,2,0,2
LOC111104628,2,1,1
LOC111104629,20,25,-5
LOC111104631,2,1,1
LOC111104637,2,1,1
LOC111104646,0,1,-1
LOC111104648,2,3,-1
LOC111104662,1,2,-1
LOC111104666,2,1,1
LOC111104684,2,1,1
LOC111104689,4,3,1
LOC111104697,3,2,1
LOC111104709,2,3,-1
LOC111104711,6,1,5
LOC111104714,4,3,1
LOC111104721,3,2,1
LOC111104732,2,1,1
LOC111104738,2,1,1
LOC111104744,2,1,1
LOC111104747,2,1,1
LOC111104752,5,4,1
LOC111104754,2,1,1
LOC111104764,1,2,-1
LOC111104767,3,2,1
LOC111104769,5,4,1
LOC111104773,1,2,-1
LOC111104774,0,1,-1
LOC111104776,1,3,-2
LOC111104777,1,3,-2
LOC111104786,1,2,-1
LOC111104793,2,1,1
LOC111104820,1,2,-1
LOC111104823,1,2,-1
LOC111104825,3,4,-1
LOC111104828,1,2,-1
LOC111104830,1,2,-1
LOC111104832,1,0,1
LOC111104834,5,3,2
LOC111104835,25,9,16
LOC111104839,3,2,1
LOC111104842,2,1,1
LOC111104854,0,1,-1
LOC111104868,1,0,1
LOC111104873,2,1,1
LOC111104879,0,1,-1
LOC111104907,0,1,-1
LOC111104910,0,1,-1
LOC111104915,0,1,-1
LOC111104926,0,1,-1
LOC111104927,0,1,-1
LOC111104938,0,1,-1
LOC111104944,1,0,1
LOC111104957,0,1,-1
LOC111104961,0,1,-1
LOC111104963,0,1,-1
LOC111104973,1,0,1
LOC111104975,1,0,1
LOC111104983,0,1,-1
LOC111104984,0,1,-1
LOC111104999,0,1,-1
LOC111105002,0,1,-1
LOC111105006,0,1,-1
LOC111105008,0,1,-1
LOC111105009,0,1,-1
