gene_name,female_max_transcript_counts,male_max_transcript_counts,difference
LOC111105805,2,1,1
LOC111105807,19,15,4
LOC111105814,1,2,-1
LOC111105816,2,1,1
LOC111105820,0,1,-1
LOC111105825,3,2,1
LOC111105828,15,9,6
LOC111105830,1,2,-1
LOC111105835,1,3,-2
LOC111105842,3,2,1
LOC111105847,5,4,1
LOC111105862,2,1,1
LOC111105873,0,1,-1
LOC111105885,0,1,-1
LOC111105887,0,1,-1
LOC111105891,1,2,-1
LOC111105901,2,1,1
LOC111105903,2,1,1
LOC111105919,1,2,-1
LOC111105920,4,3,1
LOC111105921,3,2,1
LOC111105922,1,2,-1
LOC111105949,2,1,1
LOC111105950,2,1,1
LOC111105970,1,2,-1
LOC111105975,1,2,-1
LOC111105984,2,1,1
LOC111105991,2,1,1
LOC111105993,0,1,-1
LOC111105996,0,1,-1
LOC111105998,0,1,-1
LOC111106009,1,2,-1
LOC111106023,4,3,1
LOC111106038,2,1,1
LOC111106047,3,2,1
LOC111106057,1,2,-1
LOC111106078,1,3,-2
LOC111106104,2,1,1
LOC111106112,1,2,-1
LOC111106119,10,6,4
LOC111106126,2,1,1
LOC111106135,1,2,-1
LOC111106139,3,4,-1
LOC111106140,1,2,-1
LOC111106154,2,3,-1
LOC111106157,1,2,-1
LOC111106158,2,1,1
LOC111106160,0,1,-1
LOC111106166,1,2,-1
LOC111106179,3,2,1
LOC111106188,0,1,-1
LOC111106189,5,4,1
LOC111106199,2,5,-3
LOC111106212,7,3,4
LOC111106214,3,1,2
LOC111106228,3,2,1
LOC111106240,10,8,2
LOC111106245,1,2,-1
LOC111106255,3,2,1
LOC111106260,2,3,-1
LOC111106279,1,0,1
LOC111106292,2,1,1
LOC111106299,5,4,1
LOC111106301,3,2,1
LOC111106302,1,2,-1
LOC111106309,2,1,1
LOC111106315,1,2,-1
LOC111106326,2,1,1
LOC111106336,3,4,-1
LOC111106339,4,5,-1
LOC111106341,0,1,-1
LOC111106349,1,2,-1
LOC111106420,1,3,-2
LOC111106436,0,1,-1
LOC111106455,4,3,1
LOC111106457,3,2,1
LOC111106461,3,2,1
LOC111106465,2,6,-4
LOC111106471,1,2,-1
LOC111106502,1,2,-1
LOC111106507,1,2,-1
LOC111106508,5,4,1
LOC111106516,2,3,-1
LOC111106535,2,1,1
LOC111106556,2,1,1
LOC111106567,2,1,1
LOC111106578,1,2,-1
LOC111106580,1,2,-1
LOC111106589,2,1,1
LOC111106605,1,2,-1
LOC111106606,2,1,1
LOC111106607,2,1,1
LOC111106614,1,2,-1
LOC111106630,3,2,1
LOC111106637,3,2,1
LOC111106650,3,2,1
LOC111106654,2,1,1
LOC111106656,2,3,-1
LOC111106663,1,2,-1
LOC111106664,3,2,1
LOC111106666,2,1,1
LOC111106668,5,4,1
LOC111106671,2,1,1
LOC111106672,1,2,-1
LOC111106679,2,1,1
LOC111106698,3,2,1
LOC111106701,2,1,1
LOC111106706,3,2,1
LOC111106711,3,1,2
LOC111106717,1,2,-1
LOC111106723,0,1,-1
LOC111106725,1,0,1
LOC111106726,2,1,1
LOC111106731,3,5,-2
LOC111106732,2,1,1
LOC111106749,2,3,-1
LOC111106758,1,0,1
LOC111106765,3,2,1
LOC111106768,3,2,1
LOC111106776,2,1,1
LOC111106778,1,2,-1
LOC111106790,1,2,-1
LOC111106795,2,1,1
LOC111106808,2,3,-1
LOC111106819,2,1,1
LOC111106828,1,2,-1
LOC111106830,14,7,7
LOC111106834,1,2,-1
LOC111106837,2,3,-1
LOC111106854,1,2,-1
LOC111106859,4,3,1
LOC111106861,5,3,2
LOC111106862,6,4,2
LOC111106867,1,3,-2
LOC111106871,1,0,1
LOC111106874,5,3,2
LOC111106876,1,2,-1
