gene_name,transcript_counts.S12M,transcript_counts.S23M,transcript_counts.S31M,transcript_counts.S48M,transcript_counts.S59M,transcript_counts.S9M,exposed_males_sum_transcript_counts,exposed_males_median_transcript_counts,exposed_males_mean_transcript_counts,exposed_males_max_transcript_counts,exposed_males_min_transcript_counts,exposed_males_std_dev_transcript_counts
LOC111099451,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099452,0,0,0,1,0,0,1,0,0.166666666666667,1,0,0.408248290463863
LOC111099453,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099454,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099455,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099456,0,0,0,0,0,0,0,0,0,0,0,0
LOC111099457,5,3,2,3,11,2,26,3,4.33333333333333,11,2,3.44480284873702
LOC111099458,4,3,1,3,4,2,17,3,2.83333333333333,4,1,1.16904519445001
LOC111099459,2,1,2,2,2,2,11,2,1.83333333333333,2,1,0.408248290463863
LOC111099460,2,2,2,2,2,1,11,2,1.83333333333333,2,1,0.408248290463863
LOC111099461,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099462,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099463,1,1,1,2,1,1,7,1,1.16666666666667,2,1,0.408248290463863
LOC111099464,2,2,1,1,1,1,8,1,1.33333333333333,2,1,0.516397779494322
LOC111099465,1,0,0,2,0,0,3,0,0.5,2,0,0.836660026534076
LOC111099466,0,0,1,0,0,0,1,0,0.166666666666667,1,0,0.408248290463863
LOC111099467,1,1,2,1,2,1,8,1,1.33333333333333,2,1,0.516397779494322
LOC111099468,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099469,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099470,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099471,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099472,1,0,0,0,0,0,1,0,0.166666666666667,1,0,0.408248290463863
LOC111099473,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099474,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099475,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099476,2,2,2,2,1,2,11,2,1.83333333333333,2,1,0.408248290463863
LOC111099477,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099478,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099479,1,1,2,2,2,1,9,1.5,1.5,2,1,0.547722557505166
LOC111099480,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099481,2,1,1,3,2,3,12,2,2,3,1,0.894427190999916
LOC111099482,0,1,1,1,0,0,3,0.5,0.5,1,0,0.547722557505166
LOC111099483,3,2,2,2,4,2,15,2,2.5,4,2,0.836660026534076
LOC111099484,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099485,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099486,2,0,0,0,0,0,2,0,0.333333333333333,2,0,0.816496580927726
LOC111099487,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099488,1,1,0,0,0,0,2,0,0.333333333333333,1,0,0.516397779494322
LOC111099489,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099490,1,1,1,1,1,2,7,1,1.16666666666667,2,1,0.408248290463863
LOC111099491,0,0,1,0,0,0,1,0,0.166666666666667,1,0,0.408248290463863
LOC111099492,2,2,2,2,2,2,12,2,2,2,2,0
LOC111099493,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099494,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099495,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099496,2,2,1,2,2,2,11,2,1.83333333333333,2,1,0.408248290463863
LOC111099497,1,1,1,1,0,1,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099498,2,1,1,1,1,1,7,1,1.16666666666667,2,1,0.408248290463863
LOC111099499,1,1,1,0,1,0,4,1,0.666666666666667,1,0,0.516397779494322
LOC111099500,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099501,0,0,0,0,0,0,0,0,0,0,0,0
LOC111099502,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099503,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099504,4,4,1,4,2,4,19,4,3.16666666666667,4,1,1.32916013582513
LOC111099505,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099506,2,2,1,2,2,2,11,2,1.83333333333333,2,1,0.408248290463863
LOC111099507,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099508,1,2,1,1,1,1,7,1,1.16666666666667,2,1,0.408248290463863
LOC111099509,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099510,0,1,0,1,0,0,2,0,0.333333333333333,1,0,0.516397779494322
LOC111099511,2,1,2,1,2,2,10,2,1.66666666666667,2,1,0.516397779494322
LOC111099512,1,0,1,1,0,1,4,1,0.666666666666667,1,0,0.516397779494322
LOC111099513,1,0,1,1,0,1,4,1,0.666666666666667,1,0,0.516397779494322
LOC111099514,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099515,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099516,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099517,1,2,2,1,2,2,10,2,1.66666666666667,2,1,0.516397779494322
LOC111099518,3,3,2,3,1,3,15,3,2.5,3,1,0.836660026534076
LOC111099519,1,2,1,1,2,1,8,1,1.33333333333333,2,1,0.516397779494322
LOC111099520,1,1,1,0,0,0,3,0.5,0.5,1,0,0.547722557505166
LOC111099521,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099522,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099523,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099524,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099525,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099526,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099527,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099528,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099529,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099530,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099531,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099532,0,0,0,0,0,1,1,0,0.166666666666667,1,0,0.408248290463863
LOC111099533,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099534,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099535,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099536,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099537,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099538,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099539,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099540,0,1,1,1,1,1,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099541,1,1,0,1,1,0,4,1,0.666666666666667,1,0,0.516397779494322
LOC111099542,1,1,1,0,1,1,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099543,0,1,1,1,0,1,4,1,0.666666666666667,1,0,0.516397779494322
LOC111099544,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099545,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099546,0,0,1,0,0,1,2,0,0.333333333333333,1,0,0.516397779494322
LOC111099547,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099548,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099549,2,2,1,2,2,3,12,2,2,3,1,0.632455532033676
LOC111099550,1,1,1,1,1,2,7,1,1.16666666666667,2,1,0.408248290463863
LOC111099551,2,2,2,2,1,2,11,2,1.83333333333333,2,1,0.408248290463863
