gene_name,controls_max_transcript_counts,exposed_max_transcript_counts,difference
LOC111105431,0,1,-1
LOC111105471,2,3,-1
LOC111105478,2,3,-1
LOC111105479,1,2,-1
LOC111105480,9,3,6
LOC111105482,1,2,-1
LOC111105494,4,3,1
LOC111105511,3,4,-1
LOC111105547,2,1,1
LOC111105549,3,2,1
LOC111105552,2,4,-2
LOC111105591,2,3,-1
LOC111105593,2,1,1
LOC111105619,3,4,-1
LOC111105624,1,2,-1
LOC111105631,0,1,-1
LOC111105634,1,2,-1
LOC111105638,0,1,-1
LOC111105659,1,2,-1
LOC111105680,1,0,1
LOC111105684,6,5,1
LOC111105716,17,15,2
LOC111105726,0,1,-1
LOC111105775,2,1,1
LOC111105785,1,0,1
LOC111105795,3,2,1
LOC111105804,1,2,-1
LOC111105814,0,2,-2
LOC111105825,1,3,-2
LOC111105828,15,12,3
LOC111105830,1,2,-1
LOC111105847,4,5,-1
LOC111105852,2,3,-1
LOC111105874,0,1,-1
LOC111105882,3,4,-1
LOC111105887,0,1,-1
LOC111105891,1,2,-1
LOC111105903,1,2,-1
LOC111105920,4,3,1
LOC111105921,3,2,1
LOC111105922,1,2,-1
LOC111105923,3,4,-1
LOC111105950,2,1,1
LOC111105970,1,2,-1
LOC111105975,1,2,-1
LOC111105982,1,2,-1
LOC111105983,0,3,-3
LOC111105991,2,1,1
LOC111105993,0,1,-1
LOC111105996,0,1,-1
LOC111105998,0,1,-1
LOC111106008,1,2,-1
LOC111106009,1,2,-1
LOC111106038,2,1,1
LOC111106047,3,2,1
LOC111106057,1,2,-1
LOC111106078,1,3,-2
LOC111106112,2,1,1
LOC111106119,7,10,-3
LOC111106126,1,2,-1
LOC111106135,2,1,1
LOC111106139,4,3,1
LOC111106140,2,1,1
LOC111106154,3,2,1
LOC111106157,1,2,-1
LOC111106160,0,1,-1
LOC111106166,2,1,1
LOC111106179,3,2,1
LOC111106199,4,5,-1
LOC111106212,7,6,1
LOC111106214,3,1,2
LOC111106228,2,3,-1
LOC111106240,9,10,-1
LOC111106245,1,2,-1
LOC111106260,2,3,-1
