gene_name,control_females_max_transcript_counts,exposed_females_max_transcript_counts,difference
LOC111104515,5,4,1
LOC111104520,2,1,1
LOC111104526,3,4,-1
LOC111104529,3,2,1
LOC111104539,2,1,1
LOC111104540,3,2,1
LOC111104545,2,3,-1
LOC111104560,1,2,-1
LOC111104562,0,1,-1
LOC111104568,2,1,1
LOC111104572,2,1,1
LOC111104582,1,0,1
LOC111104598,3,1,2
LOC111104602,2,1,1
LOC111104605,1,0,1
LOC111104612,1,0,1
LOC111104622,1,0,1
LOC111104626,2,1,1
LOC111104627,2,1,1
LOC111104628,2,1,1
LOC111104629,20,18,2
LOC111104631,2,1,1
LOC111104646,0,1,-1
LOC111104648,2,1,1
LOC111104660,2,1,1
LOC111104666,2,1,1
LOC111104674,1,3,-2
LOC111104689,4,5,-1
LOC111104710,1,2,-1
LOC111104711,6,3,3
LOC111104714,4,3,1
LOC111104725,3,2,1
LOC111104737,2,1,1
LOC111104738,2,1,1
LOC111104739,0,2,-2
LOC111104744,2,1,1
LOC111104757,1,2,-1
LOC111104773,1,2,-1
LOC111104774,0,1,-1
LOC111104776,1,2,-1
LOC111104777,1,2,-1
LOC111104806,1,0,1
LOC111104807,1,2,-1
LOC111104808,1,0,1
LOC111104810,2,1,1
LOC111104820,1,0,1
LOC111104825,3,2,1
LOC111104830,1,2,-1
LOC111104834,5,4,1
LOC111104835,25,24,1
LOC111104839,3,4,-1
LOC111104840,2,4,-2
LOC111104841,2,1,1
LOC111104842,2,1,1
LOC111104849,1,0,1
LOC111104854,0,1,-1
LOC111104855,0,1,-1
LOC111104879,0,1,-1
LOC111104902,1,2,-1
LOC111104907,0,1,-1
LOC111104923,1,0,1
LOC111104926,0,1,-1
LOC111104927,0,1,-1
LOC111104938,0,1,-1
LOC111104962,1,0,1
LOC111104973,1,0,1
LOC111104975,1,0,1
LOC111104983,0,1,-1
LOC111104984,0,1,-1
LOC111104988,1,0,1
LOC111105001,0,1,-1
LOC111105006,0,1,-1
LOC111105007,0,1,-1
LOC111105008,0,1,-1
LOC111105014,1,0,1
LOC111105023,0,1,-1
LOC111105043,1,0,1
LOC111105099,1,0,1
LOC111105117,1,0,1
LOC111105120,1,0,1
LOC111105126,1,0,1
LOC111105155,1,0,1
LOC111105171,1,0,1
LOC111105195,0,1,-1
LOC111105211,2,1,1
LOC111105226,0,1,-1
LOC111105229,1,0,1
LOC111105237,2,1,1
LOC111105242,0,1,-1
LOC111105243,2,1,1
LOC111105249,3,2,1
LOC111105257,1,2,-1
LOC111105259,2,1,1
LOC111105273,5,4,1
LOC111105274,3,2,1
LOC111105276,3,4,-1
LOC111105290,0,1,-1
LOC111105312,6,3,3
LOC111105317,1,2,-1
LOC111105318,2,1,1
LOC111105330,2,1,1
LOC111105333,4,5,-1
LOC111105366,15,12,3
LOC111105367,6,4,2
LOC111105371,1,0,1
LOC111105377,1,2,-1
