gene_name,exposed_females_max_transcript_counts,exposed_males_max_transcript_counts,difference
LOC111104674,3,2,1
LOC111104688,3,2,1
LOC111104689,5,4,1
LOC111104697,3,2,1
LOC111104704,1,2,-1
LOC111104709,2,1,1
LOC111104710,2,1,1
LOC111104711,3,2,1
LOC111104714,3,4,-1
LOC111104721,3,2,1
LOC111104725,2,3,-1
LOC111104727,0,1,-1
LOC111104731,0,1,-1
LOC111104733,0,1,-1
LOC111104739,2,0,2
LOC111104747,2,1,1
LOC111104752,5,4,1
LOC111104754,2,1,1
LOC111104757,2,1,1
LOC111104761,1,2,-1
LOC111104764,1,2,-1
LOC111104769,5,4,1
LOC111104773,2,3,-1
LOC111104776,2,3,-1
LOC111104806,0,1,-1
LOC111104807,2,1,1
LOC111104808,0,1,-1
LOC111104810,1,2,-1
LOC111104814,2,1,1
LOC111104820,0,1,-1
LOC111104825,2,3,-1
LOC111104828,1,2,-1
LOC111104835,24,13,11
LOC111104839,4,3,1
LOC111104840,4,3,1
LOC111104841,1,3,-2
LOC111104842,1,2,-1
LOC111104849,0,1,-1
LOC111104855,1,0,1
LOC111104859,1,2,-1
LOC111104868,1,0,1
LOC111104885,0,1,-1
LOC111104910,0,1,-1
LOC111104915,0,1,-1
LOC111104940,0,1,-1
LOC111104945,0,1,-1
LOC111104957,0,1,-1
LOC111104961,0,1,-1
LOC111104962,0,1,-1
LOC111104963,0,1,-1
LOC111104973,0,1,-1
LOC111104988,0,1,-1
LOC111105002,0,1,-1
LOC111105004,0,1,-1
LOC111105005,0,1,-1
LOC111105009,0,1,-1
LOC111105014,0,1,-1
LOC111105035,3,2,1
LOC111105043,0,1,-1
LOC111105071,0,1,-1
LOC111105090,1,0,1
LOC111105099,0,1,-1
LOC111105117,0,1,-1
LOC111105120,0,1,-1
LOC111105126,0,1,-1
LOC111105155,0,1,-1
LOC111105171,0,1,-1
LOC111105211,1,2,-1
LOC111105229,0,1,-1
LOC111105230,4,3,1
LOC111105233,3,2,1
LOC111105237,1,3,-2
LOC111105239,1,2,-1
LOC111105243,1,2,-1
LOC111105257,2,1,1
LOC111105271,1,0,1
LOC111105272,3,1,2
LOC111105276,4,2,2
LOC111105285,1,2,-1
LOC111105288,0,1,-1
LOC111105291,1,2,-1
LOC111105295,3,2,1
LOC111105296,2,1,1
LOC111105312,3,7,-4
LOC111105318,1,2,-1
LOC111105319,1,2,-1
LOC111105330,1,2,-1
LOC111105333,5,6,-1
LOC111105355,2,1,1
LOC111105362,1,2,-1
LOC111105363,3,2,1
LOC111105366,12,17,-5
LOC111105367,4,6,-2
LOC111105371,0,1,-1
LOC111105376,3,4,-1
LOC111105379,3,2,1
LOC111105382,5,2,3
LOC111105412,1,2,-1
LOC111105415,0,1,-1
LOC111105418,1,2,-1
LOC111105420,1,2,-1
LOC111105423,4,5,-1
LOC111105431,0,1,-1
LOC111105434,5,2,3
LOC111105435,1,2,-1
LOC111105453,3,4,-1
LOC111105454,1,2,-1
