"","GeneID","Exon1","Exon2","Exon3","Exon4","Exon5","Exon6","fold2","fold3","fold4","fold5","fold6"
"11913","LOC111121895",55,33,45,19,83,NA,0.6,0.818181818181818,0.345454545454545,1.50909090909091,NA
"11914","LOC111121897",52,70,21,NA,NA,NA,1.34615384615385,0.403846153846154,NA,NA,NA
"11915","LOC111121899",7,2,7,34,19,33,0.285714285714286,1,4.85714285714286,2.71428571428571,4.71428571428571
"11916","LOC111121901",13,32,16,15,7.66666666666667,14,2.46153846153846,1.23076923076923,1.15384615384615,0.58974358974359,1.07692307692308
"11917","LOC111121902",10,6,13,16,14,8,0.6,1.3,1.6,1.4,0.8
"11918","LOC111121903",13,30,10,22,45,NA,2.30769230769231,0.769230769230769,1.69230769230769,3.46153846153846,NA
"11919","LOC111121904",161,40,NA,NA,NA,NA,0.248447204968944,NA,NA,NA,NA
"11920","LOC111121906",156,173,177,150,156,163,1.10897435897436,1.13461538461538,0.961538461538462,1,1.04487179487179
"11921","LOC111121907",17,9,8,5,13,26,0.529411764705882,0.470588235294118,0.294117647058824,0.764705882352941,1.52941176470588
"11922","LOC111121908",180,183,185,172,174,185,1.01666666666667,1.02777777777778,0.955555555555556,0.966666666666667,1.02777777777778
"11923","LOC111121909",25,41,25,27,144,170,1.64,1,1.08,5.76,6.8
"11924","LOC111121910",7,20,48,21,14,11,2.85714285714286,6.85714285714286,3,2,1.57142857142857
"11925","LOC111121911",37.25,43,118,NA,NA,NA,1.15436241610738,3.16778523489933,NA,NA,NA
"11926","LOC111121912",52,33,43,57,27,NA,0.634615384615385,0.826923076923077,1.09615384615385,0.519230769230769,NA
"11927","LOC111121913",14,15,33,50,120,NA,1.07142857142857,2.35714285714286,3.57142857142857,8.57142857142857,NA
