LOC111103356 rna-XM_022436563.1
LOC111103366 rna-XM_022436586.1
LOC111103370 rna-XM_022436593.1
LOC111103372 rna-XM_022436597.1
LOC111103375 rna-XM_022436605.1
LOC111103387 rna-XM_022436629.1
LOC111103389 rna-XM_022436631.1
LOC111103390 rna-XM_022436636.1
LOC111103393 rna-XM_022436640.1
LOC111103395 rna-XM_022436650.1
LOC111103396 rna-XM_022436655.1
LOC111103399 rna-XM_022436667.1
LOC111103401 rna-XM_022436674.1
LOC111103402 rna-XM_022436672.1
LOC111103407 rna-XM_022436683.1
LOC111103418 rna-XM_022436705.1
LOC111103430 rna-XM_022436712.1
LOC111103441 rna-XM_022436726.1
LOC111103443 rna-XR_002634759.1
LOC111103445 rna-XM_022436731.1
LOC111103480 rna-XM_022436780.1
LOC111103484 rna-XM_022436792.1
LOC111103485 rna-XM_022436797.1
LOC111103489 rna-XM_022436802.1
LOC111103494 rna-XM_022436820.1
LOC111103497 rna-XM_022436810.1
LOC111103499 rna-XM_022436815.1
LOC111103505 rna-XM_022436825.1
LOC111103510 rna-XM_022436830.1
LOC111103517 rna-XM_022436848.1
LOC111103539 rna-XM_022436877.1
LOC111103552 rna-XM_022436896.1
LOC111103553 rna-XM_022436895.1
LOC111103560 rna-XM_022436911.1
LOC111103562 rna-XR_002634783.1
LOC111103568 rna-XM_022436919.1
LOC111103575 rna-XM_022436933.1
LOC111103578 rna-XM_022436945.1
LOC111103581 rna-XM_022436937.1
LOC111103587 rna-XM_022436948.1
LOC111103588 rna-XM_022436950.1
LOC111103596 rna-XM_022436976.1
LOC111103625 rna-XM_022437019.1
LOC111103631 rna-XM_022437027.1
LOC111103646 rna-XM_022437048.1
LOC111103684 rna-XM_022437154.1
LOC111103697 rna-XM_022437144.1
LOC111103768 rna-XR_002634805.1
LOC111103783 rna-XM_022437250.1
LOC111103792 rna-XM_022437264.1
LOC111103795 rna-XM_022437274.1
LOC111103804 rna-XM_022437291.1
LOC111103809 rna-XM_022437301.1
LOC111103814 rna-XM_022437320.1
LOC111103819 rna-XM_022437335.1
LOC111103824 rna-XM_022437347.1
LOC111103825 rna-XM_022437357.1
LOC111103827 rna-XM_022437363.1
LOC111103829 rna-XM_022437366.1
LOC111103830 rna-XM_022437367.1
LOC111103835 rna-XM_022437376.1
LOC111103838 rna-XM_022437379.1
LOC111103846 rna-XM_022437397.1
LOC111103847 rna-XM_022437392.1
LOC111103856 rna-XM_022437410.1
LOC111103868 rna-XM_022437428.1
LOC111103872 rna-XM_022437440.1
LOC111103896 rna-XM_022437484.1
LOC111103902 rna-XM_022437508.1
LOC111103936 rna-XM_022437574.1
LOC111103940 rna-XM_022437581.1
LOC111103943 rna-XM_022437586.1
LOC111103945 rna-XM_022437592.1
LOC111103956 rna-XM_022437613.1
LOC111103959 rna-XM_022437616.1
LOC111103965 rna-XM_022437629.1
LOC111103993 rna-XM_022437668.1
LOC111103996 rna-XM_022437679.1
LOC111104009 rna-XM_022437739.1
LOC111104021 rna-XM_022437718.1
LOC111104027 rna-XM_022437728.1
LOC111104041 rna-XM_022437745.1
LOC111104055 rna-XM_022437767.1
LOC111104061 rna-XM_022437776.1
